name,Full_Name,Latitude,Longitude,Region,Description,Icon
CROB,Cape Robertson,-60.714000,-44.840000,South Orkney Islands,,166
CROW,Crown Head,-60.616700,-45.583300,South Orkney Islands,,166
CROZ,Cape Crozier,-77.460000,169.320000,Victoria Land,,166
CRUZ,Cruzen Island,-74.734100,-140.326600,Marie Byrd Land,,166
CRWL,Cornwallis Island,-61.072400,-54.464100,Elephant Island,,166
CRYS,Crystal Hill,-63.646501,-57.734774,,,166
CRZE,Cape Crozier East,-77.483300,169.550000,,,166
CRZW,Cape Crozier West,-77.450000,169.383300,,,166
CSOU,Coulman South,-73.513700,169.877900,Victoria Land,,166
CUMB,Cumberland Bay,-54.233333,-36.466667,,,166
CURT,Curtiss Bay,-64.025600,-60.830610,,,166
CUVE,Cuverville Island,-64.687500,-62.621900,Central-west Antarctic Peninsula,,166
CVAH,Cape Vahsel islet,-54.760000,-35.841000,,,166
CVIK,Cape Vik,-60.666700,-45.666700,South Orkney Islands,,166
CWIM,Cape Wiman,-64.216667,-56.633333,,,166
DAMO,Dorian Bay/Damoy Point,-64.814900,-63.496800,Central-west Antarctic Peninsula,,166
DANC,Danco Island,-64.734000,-62.593800,Central-west Antarctic Peninsula,,166
DARB,Darbel Island,-66.380800,-65.900300,Southwest Antarctic Peninsula,,166
DARN,Cape Darnley,-67.880000,69.700000,Mac. Robertson Land,,166
DARW,Darwin Island,-63.433300,-54.766700,Northeast Antarctic Peninsula,,166
DARX,Darboux Island,-65.416700,-64.250000,Central-west Antarctic Peninsula,,166
DAVE,Davey Point,-61.968900,-58.530200,South Shetland Islands,,166
DAVI,Davis Island,-66.663700,108.444400,Wilkes Land,,166
DAWS,Dawson,-76.020000,-26.670000,Coats Land,,166
DBAY,Davis Bay,-69.350000,158.490000,Victoria Land,,166
DECI,Decimal Point,-61.097000,-54.702000,Elephant Island,,166
DEEI,Dee Island,-62.422900,-59.783600,South Shetland Islands,,166
DELA,Delaite Island,-64.564300,-62.188100,Central-west Antarctic Peninsula,,166
DEMA,Demay Point,-62.213700,-58.419100,South Shetland Islands,,166
DEMS,Demas Rocks,-63.350000,-58.033300,Northwest Antarctic Peninsula,,166
DENI,Cape Denison,-67.007200,142.664700,Victoria Land,,166
DEPT,Devils Point,-62.671400,-61.182900,South Shetland Islands,,166
DESC,Descazes Island,-67.333400,-67.333400,Southwest Antarctic Peninsula,,166
DESO,Desolation Island,-62.457800,-60.346800,South Shetland Islands,,166
DETA,Detaille Island,-66.870800,-66.786700,Southwest Antarctic Peninsula,,166
DEVI,Devil Island,-63.799200,-57.288900,Northeast Antarctic Peninsula,,166
DIBB,Dibble Glacier,-66.010000,134.790000,Wilkes Land,,166
DIEA,Davis Island East,-64.089170,-62.054720,Central-west Antarctic Peninsula,Not sure of specific location - eyeballed from WAM,166
DISA,Cape Disappointment,-54.250000,-36.750000,,,166
DIWE,Davis Island West,-64.108610,-62.104720,Central-west Antarctic Peninsula,Not sure of specific location - eyeballed from WAM,166
DMRX,Demas Rocks,-63.350000,-58.033333,,,166
DOBE,Dorian Beacon,-64.811111,-63.511389,Central-west Antarctic Peninsula,Also known as Casabianca Island,166
DOLL,Dolleman,-70.610000,-60.430000,Palmer Land,,166
DOME,Dome Island (Aviation Islands),-69.266700,158.783300,Victoria Land,,166
DOU1,Douglas Islands 1,-67.380300,63.389300,Mac. Robertson Land,,166
DOU2,Douglas Islands 2,-67.384900,63.389500,Mac. Robertson Land,,166
DOWN,Downshire Cliffs,-71.558200,170.592000,Victoria Land,,166
DREA,Dream Island,-64.725400,-64.225600,Central-west Antarctic Peninsula,,166
DRES,Drescher,-72.830000,-19.340000,Queen Maud Land,,166
