"","FileName","SourceFile","ExifToolVersion","Directory","FileSize","FileModifyDate","FileAccessDate","FileCreateDate","FilePermissions","FileType","FileTypeExtension","MIMEType","JFIFVersion","ResolutionUnit","XResolution","YResolution","ImageWidth","ImageHeight","EncodingProcess","BitsPerSample","ColorComponents","YCbCrSubSampling","ImageSize","Megapixels","image_class","latitude","longitude","datetime"
"913","8723229578_9afc45ba6a_k.jpg","8723229578_9afc45ba6a_k.jpg",11.4,".",239924,"2020:08:28 17:28:06-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"914","8723229936_329c189ebd_k.jpg","8723229936_329c189ebd_k.jpg",11.4,".",150110,"2020:08:28 17:24:52-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"915","8723235738_79096f6e55_k.jpg","8723235738_79096f6e55_k.jpg",11.4,".",410676,"2020:08:28 17:22:36-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"916","8723237580_c52196935e_k.jpg","8723237580_c52196935e_k.jpg",11.4,".",345558,"2020:08:28 17:23:46-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"917","8723239308_9ab810eb6b_k.jpg","8723239308_9ab810eb6b_k.jpg",11.4,".",392568,"2020:08:28 17:21:26-04:00","2020:08:30 11:53:12-04:00","2020:08:30 11:53:12-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"918","8723240592_582dbbf5d1_k.jpg","8723240592_582dbbf5d1_k.jpg",11.4,".",399886,"2020:08:28 17:31:21-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"919","8723240970_f21a0aaefe_k.jpg","8723240970_f21a0aaefe_k.jpg",11.4,".",340344,"2020:08:28 17:22:45-04:00","2020:08:30 11:53:19-04:00","2020:08:30 11:53:19-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"leopard",NA,NA,NA
"920","8723241748_3769faf20f_k.jpg","8723241748_3769faf20f_k.jpg",11.4,".",378216,"2020:08:28 17:21:10-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"921","8723242330_062a652715_k.jpg","8723242330_062a652715_k.jpg",11.4,".",393996,"2020:08:28 17:26:15-04:00","2020:08:30 11:53:31-04:00","2020:08:30 11:53:31-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"leopard",NA,NA,NA
"922","8723243692_a4d809cb57_k.jpg","8723243692_a4d809cb57_k.jpg",11.4,".",455485,"2020:08:28 17:28:57-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"923","8723244888_1dc1fe60e3_k.jpg","8723244888_1dc1fe60e3_k.jpg",11.4,".",346782,"2020:08:28 17:29:51-04:00","2020:08:30 11:53:12-04:00","2020:08:30 11:53:12-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"924","8723245922_b29d2faa7b_k.jpg","8723245922_b29d2faa7b_k.jpg",11.4,".",475550,"2020:08:28 17:21:55-04:00","2020:08:30 11:53:20-04:00","2020:08:30 11:53:20-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"925","8723247666_e153d9bcdb_k.jpg","8723247666_e153d9bcdb_k.jpg",11.4,".",561326,"2020:08:28 17:24:21-04:00","2020:08:30 11:53:34-04:00","2020:08:30 11:53:34-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"926","8723248518_ea8a41feb0_k.jpg","8723248518_ea8a41feb0_k.jpg",11.4,".",603963,"2020:08:28 17:30:17-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"927","8723249394_cc98bb16dd_k.jpg","8723249394_cc98bb16dd_k.jpg",11.4,".",548950,"2020:08:28 17:25:54-04:00","2020:08:30 11:53:20-04:00","2020:08:30 11:53:20-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
